Sate Bakar,25000.0,10,250000.0,22:30:33,25-12-2024;
Ayam Bakar,30000.0,3,90000.0,22:30:39,25-12-2024;
Sate Bakar,25000.0,2,50000.0,22:31:52,25-12-2024;
Sate Bakar,25000.0,2,50000.0,22:33:05,25-12-2024;
Sate Bakar,25000.0,2,50000.0,22:40:03,25-12-2024;
Ayam Bakar,30000.0,10,300000.0,22:40:07,25-12-2024;
Sate Bakar,25000.0,2,50000.0,22:41:18,25-12-2024;
Sate Bakar,25000.0,2,50000.0,22:43:03,25-12-2024;
Sate Bakar,25000.0,2,50000.0,23:13:24,25-12-2024;
Sate Bakar,25000.0,5,125000.0,23:40:11,25-12-2024;
Ayam Bakar,30000.0,3,90000.0,23:40:16,25-12-2024;
Sate Bakar,25000.0,2,50000.0,23:42:56,25-12-2024;
Sate Bakar,25000.0,2,50000.0,23:42:56,25-12-2024;
Ayam Bakar,30000.0,10,300000.0,23:43:14,25-12-2024;
Ayam Bakar,30000.0,2,60000.0,23:43:20,25-12-2024;
Sate Bakar,25000.0,2,50000.0,20:24:46,31-12-2024;
Sate Bakar,25000.0,1,25000.0,20:24:49,31-12-2024;
